loan_id,member_id,loan_amount,funded_amnt,loan_term_years,interest_rate,monthly_installment,issue_date,loan_status,loan_purpose,loan_title,ingest_date
56904118,08d233c81f9e507262dff1585842c238624c4099b5f4bfd7849f02e3e533d1ca,9525.0,9525.0,3,12.29,317.69,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56473361,8ff4d0ed17a1cab929431cce48e552649ba23a6fafe11728c62240e86491ef47,4200.0,4200.0,3,15.61,146.86,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56021410,aec13cfd611b2cfead62431c39888a3aea0613af4aeb3a645a41863e681a938d,8625.0,8625.0,3,16.55,305.58,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56473332,9ba8c96ccba6cd1f04d0c303f68f8ea4531df09c4cda111f09ea199fd8416e97,19000.0,19000.0,5,17.57,478.05,Jul-2015,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56421849,38fed280afeed91baf5532f30e67442b43be64c737247b06ad709f7584fed940,12000.0,12000.0,5,19.99,317.86,Jul-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56622278,9a51bdc18e2728f9d3d810bf3d5bc39a78e1f3478abfd5d3a349eb204ea9cbf8,24000.0,24000.0,3,11.53,791.77,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56643558,2cf47faee0c996343d486e2c7fab8952a3b93ea1c61c39aceaa2c9555bd790fd,5000.0,5000.0,3,21.99,190.93,Aug-2015,Fully Paid,moving,Moving and relocation,2024-07-31T14:48:58.175+05:30
56130667,220e4dd490018abffc643f39e42c93b40a5ed0aa29893235fd1ee53c7a4f8a25,25525.0,25525.0,5,24.99,749.05,Jul-2015,Charged Off,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56714164,aaa32c29cb9ccc7fff5301d15a290688e6444c0ea61839d7b1cdef790213aa7e,5000.0,5000.0,3,9.99,161.32,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56954113,af7a8a661df3318bd58ce681fd2d85474df0c255e55c7ecc10d409618012ba7a,30000.0,30000.0,5,26.77,911.95,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56954119,0e744cffa05697dfad902573a43baf54b64e4f3af071bae5bf92802f2b65515a,20000.0,20000.0,3,13.33,677.07,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56572867,50616b8d1d05cb02a056089285cdfcc8a39a6075b8b8b58b0f45b4e7cc640b3e,6000.0,6000.0,3,8.18,188.52,Aug-2015,Charged Off,car,Car financing,2024-07-31T14:48:58.175+05:30
56592888,ea4f0c502cdd09b33039aa0def103fa3212b183176cadbc0d53b4475c8689cc4,9600.0,9600.0,3,7.26,297.57,Aug-2015,Fully Paid,other,Other,2024-07-31T14:48:58.175+05:30
56603007,d37dc7d915d408efafe0649900c6f58311043eff3822db59c54455fb199728b9,24000.0,24000.0,5,19.19,625.09,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
55371520,20357ade3b4c314bbe7fbbc9ea36fa88f96511d18364dc6a93020b8bca6cf463,12450.0,12450.0,5,19.99,329.78,Aug-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56482977,fbee3f20b9ef84a1143de74b363b5692d9af324737ea3c0bca294ce443ea158a,16000.0,16000.0,5,13.99,372.21,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
57094121,4952e00359f1b580bf2866a1d3d5ea28f451a4bceb003b3ea4b5e21095e6a448,5000.0,5000.0,3,9.17,159.4,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56563355,d8e25ccda696bf88ec01312c2ce16c2a518fba6886deed1b87ee9a070ca97148,20000.0,20000.0,3,7.89,625.72,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56543042,09acc6aa8fd3b0bc8da8b5fac499c8973a30c5e988fce26097fdf4ff872c5a7a,10000.0,10000.0,3,12.29,333.53,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56685346,54b5f6d81c74dd11c1873f9391c2c2b0ee605dc2413707bf0d834121cdd9aae3,20000.0,20000.0,5,13.99,465.27,Jul-2015,Charged Off,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
57034138,176d6002f8f60ea337d539562a991bf1bfe657ac558bf30c89eb3d0a27584f34,2500.0,2500.0,3,10.99,81.84,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
57044117,fc15749e08318462474d47b81ef6aa6e12484f776eaeb10963716449940a1b7f,3500.0,3500.0,3,19.99,130.06,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56633085,e7d28b03d122949ccb4a2e16cebf6d4500e1cc65542785fe330af6f6a04a6e5e,10000.0,10000.0,3,16.55,354.3,Jul-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56002955,bd23c14322350ef7789c646785cf5888ee00dab9b6329e69ca8c3d745d1eb43e,5000.0,5000.0,3,8.18,157.1,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56583025,2aa768b64fa924c8fcbcfdc0cd2099ad911d98af60685d9fe37151e099f68c6d,20675.0,20675.0,5,15.61,498.51,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56482995,78fd029fa94129fd6c71806ab0a6a50d2c5d343d0d614dc9415e7dd0a4973a1f,5000.0,5000.0,3,5.32,150.58,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56452855,c4059d0e7139b051f2e9e206de2e01b3be7b91eedbaf741cfc7237461f4d5f74,8000.0,8000.0,3,9.99,258.1,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56914126,2a589bfc0ceedd44d50084b2c429e1d028f3fed3a79d3b8b568ee2d36ac75edc,14400.0,14400.0,3,8.18,452.45,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56623021,b0118a1cec41fa412ace6f0f45ca3ad7e89e42f06829434847cb4d731a9e810b,24000.0,24000.0,5,9.17,500.19,Jul-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56884118,3ef762cb4c442ea2beff0a6d946a76b15fcfaa95da93a693d791293ccbd9126e,29500.0,29500.0,3,12.29,983.92,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56543054,4071a0fe3573279883c412948837d81847df7cf9ce8b60fb74ce9a252ff4f997,6000.0,6000.0,3,5.32,180.69,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56613368,9f1be1fd464b01d91872ced57e5097a4edc837c8520e27f7979030ea1fc73354,10000.0,10000.0,3,10.99,327.34,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56572507,18e0818ae65df8ddc2d03684c7d885021734b049496f6be25c05ac0bb1552799,10000.0,10000.0,3,17.57,359.38,Aug-2015,Fully Paid,moving,Moving and relocation,2024-07-31T14:48:58.175+05:30
56685309,b2d1dc2ac0f4e41f3e29386f2a04e0f89ee5f95d5ec6af52961d1a37906f9bdd,25200.0,25200.0,5,16.99,626.15,Jul-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56613347,6f5ad8ecf09471743a01c3d49704c580cc5af195e18faebce2f315a946bd35a7,10900.0,10900.0,5,15.61,262.82,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55857833,49480d6ac84d15006731a284fa1587503d1916af41d229b21cb284fbd7b95f04,18350.0,18350.0,3,14.65,632.97,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
54474245,10ff87e4e72d897a697d61c5a430438838df641f624769125873c44708c47a20,10225.0,10225.0,3,7.26,316.94,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56623121,ed3f2d1b4781f4f8fbfd6ae8acb0c262092c4117ba0483114e6eaa1a2f32c1a3,12000.0,12000.0,5,10.99,260.85,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56473196,a482c47fb410c5692c733544b95155083dddddb2e031a38acf6aa9591a8b0bcf,9625.0,9625.0,3,7.89,301.13,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56463157,2ba947975c8c1bbb51db4f77cf5b99a8d8d0179040d778d05ff763c493fa1adc,3600.0,3600.0,3,14.65,124.18,Aug-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56421848,0758ee0c27e09709a643e7d0efe6b166c4ad952f321fb371883ac9dabf838160,7375.0,7375.0,3,10.99,241.42,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56844112,370ad826ed53565006454c023273a8876bcc1f5a0fb4efe716b96e5324ae1828,11000.0,11000.0,5,9.99,233.67,Jul-2015,Late (16-30 days),debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56623159,44ddd6c42092e4e663358101c7409e01dd7a86adaf60efa3988074e8cb4361bd,27000.0,27000.0,5,16.99,670.88,Jul-2015,Charged Off,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56633080,9b59da30e32fad1c39db7869dcf210ae03cf73f895c11ed483ea3de2a79b02fb,18000.0,18000.0,3,5.32,542.07,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56010172,652be42f6a4fac663cf6f9a7e1fdd66a5ff279d7b6f155d12d4583ff42fbb6e7,11875.0,11875.0,5,16.99,295.07,Aug-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56493284,290d5fa38a3508b41da2cf45223817b8d8b72b7e95edf2558260e6798f3a7215,13350.0,13350.0,3,8.18,419.45,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56452850,32f666014d59150dc7b0eb3eb4ffcc101e0f3e1cc14d6b04d0556d715f87a30b,14000.0,14000.0,5,13.33,320.92,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56473363,b3966bc3c84fa9a505a94247d369be7b15b2ebf888389254979713fc94aa3425,8000.0,8000.0,3,7.89,250.29,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56533038,33b524fc61ed7b3a92b8b06a0e840cd5796d253f01575f8c2442cf2200997573,14000.0,14000.0,3,6.24,427.44,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56108877,0faad9eafd79cdb0f7b9d25024f26c101ceb5d419737d0c982fae21b5bca2e32,10000.0,10000.0,3,19.19,367.53,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56523047,97abb97f635c94223582a4b9602f6cf692c0704cc6d92569cc7e490d6d332b4c,35000.0,35000.0,3,8.18,1099.69,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
57054123,3e26ac43e6bea960c9b8abb406ad7ffac9a019104291493a1fe79fde4692a7b1,5050.0,5050.0,3,10.99,165.31,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56493312,d0b88662909c024bb6825f2ef1137ab1a3e060709f188d44660c7ce2c3d769b6,15000.0,15000.0,5,7.89,303.36,Jul-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
54628141,c667c98df57c9e1fd50fb48bf542e237b6e7f8ad9f363c664f6399172677f5a5,12000.0,12000.0,5,13.99,279.16,Aug-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56622683,df93b049fe7b149fb41b18acd7ef9dfe6f2dd41cc0bfcfe68b765ad419afc321,28750.0,28750.0,3,14.65,991.71,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56421856,4a144cda949614af40ea3694179322fb57666c6d0e6051bd5ecd718eed1acf04,4000.0,4000.0,3,7.89,125.15,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56553238,486b79f40a3a8ed720f834ac46e7a9a3a255fc13cb5fb3a2ddeb88b028e46518,25000.0,25000.0,5,13.99,581.58,Jul-2015,Fully Paid,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56513434,c695b7f4847e227fb0482be99f72d23869482a1bc396f4cbe87c3afdc1d21f7a,30000.0,30000.0,3,6.89,924.81,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55910105,a1446f02aa29aaafa86bbd2773f599b5d2409e110976e90057879f2f0c6e38cd,27200.0,27200.0,5,10.99,591.26,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56632831,4c97f3e9a7c87ba0bfd4d219bd8125a9d40d374271bb7f53592b70d757b84d1a,16800.0,16800.0,5,11.53,369.73,Aug-2015,Charged Off,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56473240,9768305c49441eb4e6338afc8c38095718a7925b44e8a860b92a53e10ec90aed,13300.0,13300.0,5,17.57,334.63,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56472345,d33efc5f041346a37461d17e5c1a5d08c5dc404d3983aabafb400bb80b097e4a,25000.0,25000.0,3,6.89,770.68,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56884116,bb636703e3c8bfc86b58184b0a3fc560c224b202d61050055488850200ef6c5a,20000.0,20000.0,3,9.17,637.58,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56663236,e263a58a071b70bb6e7fd50351ed65a5f9731c25b4f749a64937fd5fe678383e,15000.0,15000.0,3,16.99,534.72,Aug-2015,Fully Paid,other,Other,2024-07-31T14:48:58.175+05:30
56141927,4ba2687d772a860f06ef90d254bb1033d493b4a7411e9c695a90d65f06e13689,7500.0,7500.0,3,13.33,253.9,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
55949745,2d2cf3e5ffee19df2898d28247c6c3237c18cb2e6198e1b20a4885a5d609c4bd,10000.0,10000.0,5,12.69,225.95,Aug-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
57054124,23a232bcd8dd1a5315510d903ca08825cfd1ba227bbadfe7f7d38ada687cfab3,8500.0,8500.0,3,11.53,280.42,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56642741,d58812ddf71c35502ec9ab6c8bd36ae50cfc9a601cd2a6a07824bf88f5c6fbdc,15000.0,15000.0,3,9.17,478.19,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56483036,52f209df5221f888576b1b0e8bc12a11eac1cd026552edc9443d576e3aa7d4ca,7000.0,7000.0,3,8.18,219.94,Jul-2015,Charged Off,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55971313,17a318a0f941862d770b878b1cdb39747c05e926231b3182b1c895fc98412f62,12000.0,12000.0,3,12.29,400.24,Jul-2015,Charged Off,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
55400291,54daf2b3930e93fd2b1264af7b5c210ef117a26aad05401ca937f213f33c939f,12000.0,12000.0,3,5.32,361.38,Jul-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55523193,39c33b1a817cc1b2f425bbdf8de5d4db3f9a69c74ed7229f2a2541d64f02e777,20950.0,20950.0,5,20.99,566.66,Aug-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56441163,89cb1445a8d0293778ccc4635046af573878166d4125de41dc0e3bee39e9aee1,23475.0,23475.0,5,18.55,603.16,Jul-2015,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
55911575,dad01217ec5d81d7b446e7647558bc478656c2d8c4b50d77a2add5eed75c6777,35000.0,35000.0,5,15.61,843.9,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
57004125,2b7156fec2b6f3a7fb5c81986c75258a5d94a68bb9d03b143bfb89f60a2d3565,20000.0,20000.0,3,12.29,667.06,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
54678272,b40d31c1292b2a57f7b2d66fab19533beb491a8256a90cb833c5d1d484c8688a,10000.0,10000.0,5,17.86,253.18,Aug-2015,Charged Off,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56441158,033b8085d33a8dae92e1a589a9e1ace15d22c7ddefc806215c95b7973b9e7fa6,15000.0,15000.0,3,10.99,491.01,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
56553246,2b496aecb626efc20550091c9fb38de1a79feb2ce2de3e532ed771c1e8cb2277,20000.0,20000.0,3,9.99,645.25,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56592219,e81f7767a75cabe33b15c29615edc794dd0f42bbd7b082a96ef014a4aed4b03a,8000.0,8000.0,3,10.99,261.88,Aug-2015,Fully Paid,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
55961541,727a008bbced1f5c1c3a40efd1bbf03afd8fbcb80f4e49ab714a431e6099fbf5,15000.0,15000.0,5,15.61,361.67,Aug-2015,Fully Paid,home_improvement,Home improvement,2024-07-31T14:48:58.175+05:30
56623142,2d644c24a8b39712d80ca9183fe0fef98e2a4073e0e67d851908eb5a71e493a9,10000.0,10000.0,3,7.89,312.86,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56632547,62f55b6e26fa297534767bc9d08ce50c679427fdfaf0c65c83797937052183a2,35000.0,35000.0,3,16.55,1240.03,Aug-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
56583071,50e2bb53f10dd2049af0b33e36c6fb34c94c089ef67fd5b23c660a8a9c083236,12925.0,12925.0,3,9.17,412.04,Jul-2015,Fully Paid,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141581221,9cb79aa7323e81be1dac0536c0af072f66888b7aac448d024c2d0590278ab2c6,24000.0,24000.0,5,25.34,709.23,Oct-2018,Current,small_business,Business,2024-07-31T14:48:58.175+05:30
141506948,0dd2bbc517e3c8f9eb331658c3ec72424bfa5553b5d0d123453ca0ee9612fd21,10000.0,10000.0,3,7.84,312.63,Oct-2018,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
141357400,458458599d3df3bfc8855871e0abae663072f12171499cd2dee7b66881e6a9c8,5600.0,5600.0,3,16.14,197.27,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
139445427,05ea141ec28b5c7f77ebb8644aa7e9e47aa85dde93986c23cb75400e0b938a62,9000.0,9000.0,3,8.46,283.95,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141407409,aac68850fdac09fd0e1f3524b804485cd897ec13ea03932cae6879a40ab5913e,30000.0,30000.0,5,29.69,964.9,Oct-2018,Current,major_purchase,Major purchase,2024-07-31T14:48:58.175+05:30
141533932,c89986155a070db2e133035d16be2230c668b3fe1199c7012fb2c716b429f844,10000.0,10000.0,5,14.47,235.13,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141441276,118dc629b6e134419a8026e6a3c3e206c2789130bb375421dea60986c1a5555a,24000.0,24000.0,5,7.21,477.62,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141569080,a86fa4b74937083333c968b47629858506205a274e6a8cdbaca21e0227b9dec1,27525.0,27525.0,5,10.08,585.91,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
140961277,6e8d94bf446e970251bd9159664d1b704d94814792d817c7e7b8c71f6f3a6494,10000.0,10000.0,3,14.47,344.07,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141466656,3de585156dc6b73f6282c372ffef7aa0d9b6aebcd7db293b5ccc913f8428a327,20000.0,20000.0,5,10.47,429.59,Oct-2018,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
141575085,e88945f86a96f8d71467a6ce8facaa5f9e75a019aa8036f0003a681d1aebd177,10000.0,10000.0,5,12.73,226.16,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141429235,42f73fd8a01f1c475e1ade4bb3a7101cf7f56204450d78e0b4dc351a8a072715,32000.0,32000.0,3,7.84,1000.41,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141545082,c680bca32456530e67ab955a987999fee721cb9941d85ed7ae8a1941f9cac004,20000.0,20000.0,5,10.47,429.59,Oct-2018,Current,debt_consolidation,Debt consolidation,2024-07-31T14:48:58.175+05:30
141584203,3c36e35bcc037969074b8c6699d60ce5d0e2c8aab86c21ef9bbaf6b816de1f03,10000.0,10000.0,5,6.11,193.84,Oct-2018,Current,credit_card,Credit card refinancing,2024-07-31T14:48:58.175+05:30
